iter	Passed	Remaining
0	6	6655
1	12	6200
2	17	5750
3	22	5552
4	27	5437
5	32	5326
6	37	5282
7	42	5264
8	47	5219
9	52	5177
10	57	5211
11	63	5187
12	67	5154
13	73	5144
14	78	5124
15	83	5107
16	88	5127
17	94	5131
18	98	5102
19	104	5115
20	109	5099
21	114	5074
22	119	5087
23	125	5083
24	129	5065
25	135	5068
26	140	5064
27	145	5058
28	151	5061
29	156	5063
30	161	5050
31	166	5035
32	171	5027
33	176	5013
34	181	5002
35	186	5000
36	191	4993
37	196	4981
38	202	4982
39	207	4980
40	212	4971
41	217	4966
42	222	4960
43	228	4957
44	233	4953
45	238	4951
46	243	4941
47	249	4940
48	254	4940
49	259	4933
50	265	4931
51	270	4933
52	275	4924
53	281	4923
54	286	4920
55	291	4909
56	296	4899
57	301	4896
58	306	4887
59	311	4882
60	316	4879
61	322	4872
62	327	4868
63	332	4866
64	337	4861
65	343	4856
66	348	4854
67	354	4853
68	359	4845
69	364	4842
70	369	4833
71	374	4823
72	379	4819
73	384	4813
74	390	4810
75	395	4807
76	400	4799
77	405	4790
78	410	4786
79	415	4782
80	420	4776
81	426	4771
82	431	4766
83	436	4763
84	442	4759
85	447	4754
86	452	4748
87	457	4739
88	462	4735
89	467	4728
90	472	4720
91	477	4716
92	483	4712
93	488	4704
94	493	4702
95	498	4698
96	503	4691
97	509	4688
98	514	4681
99	519	4673
100	524	4670
101	530	4667
102	535	4661
103	541	4663
104	546	4658
105	551	4652
106	557	4648
107	562	4642
108	567	4634
109	572	4628
110	577	4622
111	582	4616
112	587	4610
113	592	4606
114	597	4597
115	602	4592
116	607	4587
117	612	4579
118	617	4574
119	623	4570
120	628	4564
121	633	4557
122	638	4552
123	643	4546
124	648	4540
125	654	4536
126	659	4531
127	664	4526
128	669	4521
129	674	4514
130	679	4507
131	684	4500
132	689	4495
133	694	4488
134	699	4481
135	704	4475
136	709	4468
137	714	4462
138	719	4458
139	724	4451
140	729	4446
141	734	4440
142	740	4436
143	745	4430
144	750	4425
145	756	4423
146	761	4417
147	766	4410
148	771	4407
149	776	4399
150	781	4392
151	787	4390
152	792	4387
153	797	4382
154	803	4379
155	808	4373
156	813	4368
157	818	4363
158	823	4356
159	828	4348
160	833	4344
161	838	4337
162	843	4330
163	848	4323
164	853	4317
165	858	4311
166	863	4305
167	868	4300
168	873	4295
169	878	4290
170	884	4285
171	889	4281
172	894	4277
173	900	4275
174	906	4271
175	911	4265
176	916	4262
177	921	4256
178	926	4250
179	932	4246
180	937	4241
181	942	4236
182	948	4232
183	953	4227
184	958	4221
185	963	4216
186	968	4212
187	973	4206
188	979	4201
189	984	4196
190	990	4194
191	995	4189
192	1001	4186
193	1006	4180
194	1011	4174
195	1016	4169
196	1021	4162
197	1026	4158
198	1031	4152
199	1036	4144
200	1041	4140
201	1047	4136
202	1052	4132
203	1057	4127
204	1063	4123
205	1068	4119
206	1073	4114
207	1078	4107
208	1083	4102
209	1089	4098
210	1094	4094
211	1100	4088
212	1105	4082
213	1110	4080
214	1115	4073
215	1120	4068
216	1126	4063
217	1130	4056
218	1135	4050
219	1140	4044
220	1145	4039
221	1151	4033
222	1156	4029
223	1161	4023
224	1166	4017
225	1171	4012
226	1176	4007
227	1182	4003
228	1187	3999
229	1193	3995
230	1198	3988
231	1202	3982
232	1208	3978
233	1213	3972
234	1218	3966
235	1224	3963
236	1229	3958
237	1234	3952
238	1239	3948
239	1244	3942
240	1250	3936
241	1255	3932
242	1260	3927
243	1265	3920
244	1270	3916
245	1275	3910
246	1281	3905
247	1286	3900
248	1291	3895
249	1296	3889
250	1302	3885
251	1307	3879
252	1312	3874
253	1317	3869
254	1322	3864
255	1327	3859
256	1333	3854
257	1338	3849
258	1343	3842
259	1348	3837
260	1353	3831
261	1358	3826
262	1363	3820
263	1368	3815
264	1373	3809
265	1378	3803
266	1383	3798
267	1388	3793
268	1394	3788
269	1399	3782
270	1404	3777
271	1409	3772
272	1414	3767
273	1420	3762
274	1425	3757
275	1430	3751
276	1435	3747
277	1440	3741
278	1445	3735
279	1450	3730
280	1455	3723
281	1460	3718
282	1465	3713
283	1471	3708
284	1476	3703
285	1481	3697
286	1486	3692
287	1491	3687
288	1496	3681
289	1501	3676
290	1506	3670
291	1511	3665
292	1517	3660
293	1522	3655
294	1527	3650
295	1533	3646
296	1538	3641
297	1543	3635
298	1548	3630
299	1553	3624
300	1558	3619
301	1563	3614
302	1568	3608
303	1573	3603
304	1579	3598
305	1584	3592
306	1588	3586
307	1593	3581
308	1599	3576
309	1604	3570
310	1609	3564
311	1614	3560
312	1619	3554
313	1624	3548
314	1629	3543
315	1634	3538
316	1639	3532
317	1644	3527
318	1649	3522
319	1655	3517
320	1660	3511
321	1665	3507
322	1670	3501
323	1675	3495
324	1681	3491
325	1686	3485
326	1691	3480
327	1696	3476
328	1701	3470
329	1706	3464
330	1711	3459
331	1716	3454
332	1721	3448
333	1727	3444
334	1732	3438
335	1737	3432
336	1742	3427
337	1747	3422
338	1752	3416
339	1757	3411
340	1762	3406
341	1767	3401
342	1772	3395
343	1778	3390
344	1783	3385
345	1788	3380
346	1793	3375
347	1799	3371
348	1804	3365
349	1810	3361
350	1815	3356
351	1820	3350
352	1825	3345
353	1830	3340
354	1835	3334
355	1840	3329
356	1845	3324
357	1851	3319
358	1856	3314
359	1861	3310
360	1867	3304
361	1872	3299
362	1877	3294
363	1882	3289
364	1887	3283
365	1892	3278
366	1897	3272
367	1901	3266
368	1907	3262
369	1912	3257
370	1917	3251
371	1922	3246
372	1927	3240
373	1932	3234
374	1937	3228
375	1942	3224
376	1947	3218
377	1952	3212
378	1957	3207
379	1962	3201
380	1966	3195
381	1972	3190
382	1977	3185
383	1982	3179
384	1987	3174
385	1992	3169
386	1997	3163
387	2002	3158
388	2008	3154
389	2013	3148
